file_path,surface,role_channel,route_or_function,function_name,state,locale,source_commit_or_build,width,height,sha256,real_runtime_verified,branding_verified,brand_anchor_present,reviewer_notes
ScreenShots/01_Mobile/B2C_Customer/05_عروض_وتخفيضات__populated__en.png,mobile,B2C Customer,/offers,عروض_وتخفيضات,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,62758c6a45e4a84b605fb09cf69b6c4d7be00581603d95c385c040e2c7b2f7b5,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/06_قائمة_المنتجات_والفلاتر__populated__ar.png,mobile,B2C Customer,/products,قائمة_المنتجات_والفلاتر,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,6b7fbe519e3892ffa9be2ec5299fe7f612036026bfed94f49376757761e0892e,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/06_قائمة_المنتجات_والفلاتر__populated__en.png,mobile,B2C Customer,/products,قائمة_المنتجات_والفلاتر,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,7de93d53f0d58bbb993441f71bcfa907847c86193ed8c7d7bd7e5703089dcd3a,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/07_تفاصيل_المنتج__populated__ar.png,mobile,B2C Customer,/products/:id,تفاصيل_المنتج,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,2257bf48d6481ef43d7aabea9fab4a65b1c4a5d129c3a1d3994ad2ad3f56c357,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/07_تفاصيل_المنتج__populated__en.png,mobile,B2C Customer,/products/:id,تفاصيل_المنتج,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,75711ce7df3c09b2ff603b7535bdc5cf37b63edbacb5117cadd1ffb90fde41ab,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/08_سلة_التسوق__populated__ar.png,mobile,B2C Customer,/cart,سلة_التسوق,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,338170b9cf9ca595b9503733261a9814b28e8e6fc7f96313179e49dc5453ee15,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/08_سلة_التسوق__populated__en.png,mobile,B2C Customer,/cart,سلة_التسوق,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,ed0e580afcf9467b2a403fdf829bf2c88ad1decf2af0c738cf0e9622bbbc5be5,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/09_تسجيل_الدخول_لإتمام_الطلب__default__ar.png,mobile,B2C Customer,/auth/checkout,تسجيل_الدخول_لإتمام_الطلب,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,be2bb5c09ac240a19e4a9fe0da576dee81f43d6f258692635e8cbc6977f67f4e,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/09_تسجيل_الدخول_لإتمام_الطلب__default__en.png,mobile,B2C Customer,/auth/checkout,تسجيل_الدخول_لإتمام_الطلب,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,5f0944c1eda28105b9f2e21cbc5b5a419590d7d017dc85b1ebf8bb1d368d725a,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/10_العنوان_والدفع__default__ar.png,mobile,B2C Customer,/checkout/address-payment,العنوان_والدفع,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,2163f800cebbdae6a742bf90b79de8863586538638b67f7f6f0e750feb47fc29,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/10_العنوان_والدفع__default__en.png,mobile,B2C Customer,/checkout/address-payment,العنوان_والدفع,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,4d239030df7fe9267bc800a3e6f4c95e6f534e87a8261acea79522cc03965c8c,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/11_تتبع_الطلب__populated__ar.png,mobile,B2C Customer,/orders/:id/track,تتبع_الطلب,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,0704777151171677748fd652ff017be954d2733b36d7b1106490287932228550,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/11_تتبع_الطلب__populated__en.png,mobile,B2C Customer,/orders/:id/track,تتبع_الطلب,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,ad5c029089db3dff4284e1c35ca1600f345e9c6ee8776f8389b3eee73fff49d4,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/12_الملف_الشخصي_والمفضلة__populated__ar.png,mobile,B2C Customer,/profile,الملف_الشخصي_والمفضلة,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,cb12db669e1fe95b36c014c3a2b95b66a77edd5588bd58c8809f0c517def800d,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/12_الملف_الشخصي_والمفضلة__populated__en.png,mobile,B2C Customer,/profile,الملف_الشخصي_والمفضلة,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,5e97b3617b1489360d35b565cb1dbf9c19bdef6c3eafba7bec3c567525c756cf,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2B/01_driver_home__default__ar.png,mobile,Driver B2B,driver/runtime,01_driver_home,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,000aa11de700590340e207f8a8694871297297f638edf961dacb3b727d53c244,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2B/01_driver_home__default__en.png,mobile,Driver B2B,driver/runtime,01_driver_home,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,19cd6db80ce76ae219b3ca7f8c753a19c00560731d4bc102f877f6eac8e3ba67,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2B/02_driver_deliveries__populated__ar.png,mobile,Driver B2B,driver/runtime,02_driver_deliveries,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,1d0371d70739b7e887412e024c4110b8a203e8923475ce07735628a4470588e3,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2B/02_driver_deliveries__populated__en.png,mobile,Driver B2B,driver/runtime,02_driver_deliveries,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,b928970bf7dca52c294d99f07ad7207daa3d30d117f3eb07ad7c8ff246c77cee,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/01_driver_login__default__ar.png,mobile,Driver B2C,driver/runtime,01_driver_login,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,115caa0ad762aa8324b73bf6e5e34e7f1796f2b91ce251cf5b734dc9f4603dcd,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/01_driver_login__default__en.png,mobile,Driver B2C,driver/runtime,01_driver_login,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,f540237a2e94d0a10584421cae1eb16c34783762fcbdfe2a2787d569e9246952,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/02_driver_home__default__ar.png,mobile,Driver B2C,driver/runtime,02_driver_home,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,5d6c222041582ff6d4503828c2529d1583dbfff117ab34a03d0a796665f269df,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/02_driver_home__default__en.png,mobile,Driver B2C,driver/runtime,02_driver_home,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,22dbdcd937842b0f4e6f31471e07f406f3f07a2a059cbeeff646961fbc5c6f7c,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
